id,x,y,z,width,depth,height,floor_count,density,type,roof,is_tower,macro_x,macro_y,micro_x,micro_y
1,6.4167,0.5833,0.715,0.1433,0.1433,0.96,3,low,house,gable,False,6,0,2,3
2,6.5833,0.5833,0.72,0.1433,0.1433,0.96,3,low,house,gable,False,6,0,3,3
3,6.75,0.5833,0.725,0.1433,0.1433,0.96,3,low,house,gable,False,6,0,4,3
4,6.4167,0.75,0.724,0.1433,0.1433,0.32,1,low,house,hip,False,6,0,2,4
5,6.75,0.75,0.734,0.1433,0.1433,0.32,1,low,house,gable,False,6,0,4,4
6,6.4167,0.9167,0.732,0.1433,0.1433,0.32,1,low,house,gable,False,6,0,2,5
7,6.5833,0.9167,0.738,0.1433,0.1433,0.64,2,low,house,hip,False,6,0,3,5
8,7.75,0.0833,0.712,0.1433,0.1433,0.64,2,low,house,gable,False,7,0,4,0
9,7.9167,0.0833,0.713,0.1433,0.1433,0.96,3,low,house,gable,False,7,0,5,0
10,7.75,0.25,0.722,0.1433,0.1433,0.32,1,low,house,gable,False,7,0,4,1
11,7.9167,0.25,0.723,0.1433,0.1433,0.96,3,low,house,gable,False,7,0,5,1
12,7.75,0.4167,0.733,0.1433,0.1433,0.64,2,low,house,gable,False,7,0,4,2
13,7.9167,0.4167,0.734,0.1433,0.1433,0.64,2,low,house,gable,False,7,0,5,2
14,7.75,0.5833,0.743,0.1433,0.1433,0.32,1,low,house,gable,False,7,0,4,3
15,8.25,0.25,0.724,0.1433,0.1433,0.64,2,low,house,gable,False,8,0,1,1
16,8.4167,0.25,0.724,0.1433,0.1433,0.32,1,low,house,gable,False,8,0,2,1
17,8.0833,0.4167,0.735,0.1433,0.1433,0.96,3,low,house,gable,False,8,0,0,2
18,8.25,0.4167,0.735,0.1433,0.1433,0.32,1,low,house,gable,False,8,0,1,2
19,8.4167,0.4167,0.735,0.1433,0.1433,0.64,2,low,house,gable,False,8,0,2,2
