id,x,y,z,width,depth,height,floor_count,density,type,roof,is_tower,macro_x,macro_y,micro_x,micro_y,parcel_id,footprint_cells_x,footprint_cells_y,source_cell_count
1,7.2702,1.705,1.941,0.348,0.3954,0.14,1,none,house,gable,False,7,4,0,0,43,1,1,1
2,7.6621,1.798,1.938,0.3451,0.3925,0.14,1,none,house,gable,False,7,4,1,0,43,1,1,1
3,12.5358,2.0818,1.417,0.3606,0.3753,0.84,6,high,house,gable,False,10,4,1,0,15,1,1,1
4,12.9318,1.9426,1.341,0.3616,0.3759,0.42,3,high,house,gable,False,10,4,2,0,15,1,1,1
5,7.6152,2.2499,1.995,0.3524,0.3889,0.14,1,none,house,gable,False,7,4,1,1,43,1,1,1
6,10.0112,2.771,1.848,0.3596,0.368,0.56,4,high,house,gable,False,8,4,3,1,13,1,1,1
7,12.9691,2.3746,1.367,0.3727,0.37,0.56,4,high,house,gable,False,10,4,2,1,15,1,1,1
8,13.3752,2.217,1.286,0.3765,0.3713,0.7,5,high,house,gable,False,10,4,3,1,15,1,1,1
9,13.784,2.0544,1.206,0.3802,0.3732,0.56,4,high,house,gable,False,11,4,0,1,15,1,1,1
10,6.7399,2.5452,2.053,0.3593,0.3913,0.84,6,high,house,gable,False,6,4,3,2,43,1,1,1
11,7.1527,2.6096,2.052,0.4017,0.4339,2.24,16,none,tower,flat,True,7,4,0,2,43,1,1,1
12,7.5625,2.6966,2.048,0.3609,0.3849,0.14,1,none,house,gable,False,7,4,1,2,43,1,1,1
13,7.9698,2.7994,2.038,0.3617,0.3803,0.14,1,none,house,gable,False,7,4,2,2,43,1,1,1
14,9.6044,3.1612,1.931,0.3596,0.3646,0.42,3,high,house,gable,False,8,4,2,2,13,1,1,1
15,10.0224,3.1959,1.884,0.3624,0.363,0.7,5,high,house,gable,False,8,4,3,2,13,1,1,1
16,10.8758,3.1939,1.767,0.3717,0.3627,0.56,4,high,house,gable,False,9,4,1,2,13,1,1,1
17,12.5933,2.9393,1.47,0.38,0.3648,0.56,4,high,house,gable,False,10,4,1,2,15,1,1,1
18,13.0157,2.7999,1.388,0.3856,0.366,0.7,5,high,house,hip,False,10,4,2,2,15,1,1,1
19,13.8646,2.4788,1.219,0.3942,0.37,0.84,6,high,house,gable,False,11,4,0,2,15,1,1,1
20,6.6702,2.992,2.101,0.363,0.3864,0.84,6,high,house,gable,False,6,4,3,3,43,1,1,1
21,7.0895,3.0544,2.1,0.3663,0.384,0.14,1,none,house,gable,False,7,4,0,3,43,1,1,1
22,7.5089,3.1383,2.095,0.3698,0.3804,0.14,1,none,house,hip,False,7,4,1,3,43,1,1,1
23,10.0344,3.6158,1.915,0.3655,0.3596,0.56,4,high,house,gable,False,8,4,3,3,13,1,1,1
24,10.8898,3.6135,1.794,0.3711,0.3594,0.42,3,high,house,gable,False,9,4,1,3,13,1,1,1
25,12.192,3.4711,1.573,0.3831,0.3613,0.7,5,high,house,gable,False,10,4,0,3,15,1,1,1
26,13.5047,3.0627,1.316,0.4052,0.3652,0.56,4,high,house,hip,False,10,4,3,3,15,1,1,1
27,7.0318,3.494,2.142,0.3722,0.3786,0.42,3,high,house,hip,False,7,5,0,0,43,1,1,1
28,9.6163,4.0013,1.992,0.371,0.3587,0.7,5,high,house,hip,False,8,5,2,0,13,1,1,1
29,10.0448,4.0327,1.941,0.3684,0.3576,0.84,6,high,house,gable,False,8,5,3,0,13,1,1,1
30,10.9022,4.0303,1.817,0.3706,0.3577,0.84,6,high,house,gable,False,9,5,1,0,13,1,1,1
31,12.6593,3.7799,1.506,0.4006,0.3611,0.56,4,high,house,gable,False,10,5,1,0,15,1,1,1
32,13.11,3.6406,1.418,0.4111,0.3626,0.7,5,high,house,gable,False,10,5,2,0,15,1,1,1
33,13.5657,3.4824,1.326,0.4186,0.3643,0.7,5,high,house,hip,False,10,5,3,0,15,1,1,1
34,14.0264,3.319,1.234,0.4221,0.3666,0.42,3,medium,house,gable,False,11,5,0,0,15,1,1,1
35,10.0516,4.4478,1.962,0.3707,0.3565,0.56,4,high,house,hip,False,8,5,3,1,13,1,1,1
36,10.4811,4.4546,1.902,0.4113,0.398,1.4,10,high,tower,flat,True,9,5,0,1,13,1,1,1
37,10.9105,4.4459,1.836,0.3701,0.3572,0.42,3,high,house,hip,False,9,5,1,1,13,1,1,1
38,13.145,4.0609,1.429,0.4209,0.363,0.7,5,high,house,hip,False,10,5,2,1,15,1,1,1
39,14.088,3.7405,1.24,0.433,0.3666,0.56,4,medium,house,gable,False,11,5,0,1,15,1,1,1
40,10.484,4.8693,1.917,0.3687,0.3567,0.7,5,high,house,hip,False,9,5,0,2,13,1,1,1
41,10.9132,4.8613,1.851,0.3697,0.3575,0.42,3,high,house,gable,False,9,5,1,2,13,1,1,1
42,12.2366,4.7279,1.62,0.399,0.3613,0.7,5,high,house,gable,False,10,5,0,2,15,1,1,1
43,12.6966,4.6203,1.531,0.414,0.3628,0.42,3,high,house,gable,False,10,5,1,2,15,1,1,1
44,13.1661,4.4832,1.439,0.4772,0.4069,1.82,13,high,tower,flat,True,10,5,2,2,15,1,1,1
45,14.1275,4.1657,1.246,0.4403,0.3682,0.42,3,medium,house,hip,False,11,5,0,2,15,1,1,1
46,3.497,4.7803,2.059,0.3995,0.371,0.56,4,high,house,hip,False,5,5,0,3,10,1,1,1
47,3.9506,4.7174,2.104,0.3883,0.3682,0.7,5,high,house,hip,False,5,5,1,3,10,1,1,1
48,12.2358,5.1487,1.629,0.4008,0.3624,0.42,3,high,house,gable,False,10,5,0,3,15,1,1,1
