id,x,y,z,width,depth,height,floor_count,density,type,roof,is_tower,macro_x,macro_y,micro_x,micro_y,parcel_id,footprint_cells_x,footprint_cells_y,source_cell_count
1,-1.3114,9.6934,0.737,0.4356,0.3789,0.7,5,high,house,gable,False,2,8,1,3,62,1,1,1
2,-0.3638,9.6387,0.738,0.4373,0.3698,0.56,4,high,house,gable,False,2,8,3,3,62,1,1,1
3,-0.3639,10.0535,1.22,0.4564,0.4109,2.8,20,high,tower,flat,True,2,9,3,0,62,1,1,1
4,-1.0743,10.1009,0.679,0.8729,0.398,0.56,4,high,house,gable,False,2,9,1,0,62,2,1,2
5,-0.421,11.3804,0.513,0.4379,0.417,0.84,6,high,house,gable,False,2,9,3,3,69,1,1,1
6,-0.695,11.8555,0.464,0.8753,0.4251,0.56,4,high,house,gable,False,2,10,2,0,69,2,1,2
7,-0.5061,12.3,0.418,0.4383,0.4329,0.56,4,high,house,gable,False,2,10,3,1,69,1,1,1
8,0.5784,9.6144,0.719,0.4273,0.3659,0.84,6,high,house,gable,False,3,8,1,3,62,1,1,1
9,0.3418,10.0321,0.667,0.8618,0.3909,0.7,5,high,house,gable,False,3,9,0,0,62,2,1,2
10,0.2856,11.3501,0.504,0.8635,0.4144,0.56,4,high,house,gable,False,3,9,0,3,69,2,1,2
11,0.2494,11.8034,0.455,0.865,0.4221,0.7,5,high,house,gable,False,3,10,0,0,69,2,1,2
12,0.4395,12.2526,0.407,0.4306,0.4294,0.7,5,high,house,gable,False,3,10,1,1,69,1,1,1
13,3.1359,8.1049,0.794,0.4011,0.3561,0.7,5,high,house,gable,False,4,7,3,3,7,1,1,1
14,2.9345,8.4984,0.753,0.7876,0.3508,0.84,6,high,house,gable,False,4,8,2,0,7,2,1,2
15,2.9545,9.6825,0.59,0.7529,0.3785,0.7,5,high,house,gable,False,4,8,2,3,63,2,1,2
16,2.3251,10.2744,0.554,0.3826,0.7844,0.84,6,high,house,hip,False,4,9,1,0,63,1,2,2
17,3.1507,10.1136,0.524,0.3734,0.3891,0.56,4,high,house,gable,False,4,9,3,0,63,1,1,1
18,2.7314,10.5116,0.503,0.376,0.3957,0.84,6,high,house,gable,False,4,9,2,1,63,1,1,1
19,1.8713,11.1167,0.477,0.3935,0.8048,0.56,4,high,house,hip,False,4,9,0,2,63,1,2,2
