x,y,height,slope,buildable,distance_to_road,accessibility,state,density,type,is_tower
0,0,0.276,0.08,True,8.746,0.241,0,none,forest,False
1,0,0.356,0.08,True,7.906,0.293,0,none,forest,False
2,0,0.435,0.079,True,7.106,0.343,0,none,forest,False
3,0,0.51,0.075,True,6.364,0.39,0,none,forest,False
4,0,0.576,0.066,True,5.701,0.432,0,none,forest,False
5,0,0.63,0.054,True,5.148,0.468,0,none,forest,False
6,0,0.672,0.049,True,4.743,0.496,0,none,forest,False
7,0,0.698,0.056,True,4.528,0.515,1,low,residential_low,False
8,0,0.708,0.063,True,4.528,0.522,1,low,residential_low,False
9,0,0.703,0.07,True,4.743,0.518,1,low,residential_low,False
10,0,0.683,0.076,True,5.148,0.504,1,low,residential_low,False
11,0,0.65,0.081,True,5.701,0.481,0,none,forest,False
12,0,0.607,0.085,True,6.364,0.452,0,none,forest,False
13,0,0.556,0.088,True,7.106,0.418,0,none,forest,False
14,0,0.501,0.09,True,7.906,0.38,0,none,forest,False
15,0,0.446,0.09,True,8.746,0.339,0,none,forest,False
16,0,0.394,0.088,True,9.618,0.296,0,none,forest,False
17,0,0.348,0.085,True,10.118,0.268,0,none,forest,False
18,0,0.31,0.081,True,9.431,0.297,0,none,forest,False
19,0,0.283,0.076,True,8.744,0.325,0,none,forest,False
20,0,0.268,0.07,True,8.058,0.352,0,none,forest,False
21,0,0.266,0.063,True,7.371,0.378,0,none,forest,False
22,0,0.275,0.057,True,6.684,0.403,0,none,forest,False
23,0,0.295,0.049,True,5.998,0.427,0,none,forest,False
24,0,0.323,0.043,True,5.315,0.45,0,none,forest,False
25,0,0.357,0.036,True,4.717,0.469,0,none,forest,False
26,0,0.393,0.036,True,4.272,0.48,0,none,forest,False
27,0,0.428,0.035,True,4.031,0.48,0,none,forest,False
28,0,0.459,0.031,True,4.031,0.468,0,none,forest,False
29,0,0.482,0.023,True,4.272,0.444,0,none,forest,False
0,1,0.29,0.084,True,8.276,0.275,0,none,forest,False
1,1,0.374,0.085,True,7.382,0.331,0,none,forest,False
2,1,0.459,0.085,True,6.519,0.384,0,none,forest,False
3,1,0.539,0.08,True,5.701,0.435,0,none,forest,False
4,1,0.611,0.072,True,4.95,0.482,0,none,forest,False
5,1,0.673,0.062,True,4.301,0.523,1,low,residential_low,False
6,1,0.721,0.049,True,3.808,0.556,1,low,residential_low,False
7,1,0.754,0.056,True,3.536,0.578,1,low,residential_low,False
8,1,0.771,0.064,True,3.536,0.585,1,low,residential_low,False
9,1,0.773,0.071,True,3.808,0.579,1,low,residential_low,False
10,1,0.759,0.078,True,4.301,0.561,1,low,residential_low,False
11,1,0.731,0.085,True,4.95,0.534,1,low,residential_low,False
12,1,0.692,0.089,True,5.701,0.501,1,low,residential_low,False
13,1,0.644,0.093,True,6.519,0.464,0,none,forest,False
14,1,0.591,0.094,True,7.382,0.423,0,none,forest,False
15,1,0.536,0.094,True,8.276,0.379,0,none,forest,False
16,1,0.482,0.093,True,9.192,0.333,0,none,forest,False
17,1,0.433,0.089,True,9.391,0.32,0,none,forest,False
18,1,0.391,0.085,True,8.704,0.349,0,none,forest,False
19,1,0.359,0.079,True,8.017,0.376,0,none,forest,False
20,1,0.338,0.072,True,7.331,0.403,0,none,forest,False
21,1,0.329,0.064,True,6.644,0.428,0,none,forest,False
22,1,0.332,0.057,True,5.957,0.453,0,none,forest,False
23,1,0.344,0.049,True,5.271,0.476,0,none,forest,False
24,1,0.366,0.043,True,4.584,0.499,0,none,forest,False
25,1,0.392,0.035,True,3.905,0.521,1,low,residential_low,False
26,1,0.422,0.03,True,3.354,0.537,1,low,residential_low,False
27,1,0.451,0.029,True,3.041,0.54,1,low,residential_low,False
28,1,0.477,0.026,True,3.041,0.527,1,low,residential_low,False
29,1,0.495,0.018,True,3.354,0.5,1,low,residential_low,False
0,2,0.297,0.09,True,7.906,0.305,0,none,forest,False
1,2,0.387,0.09,True,6.964,0.363,0,none,forest,False
2,2,0.477,0.09,True,6.042,0.419,1,low,residential_low,False
3,2,0.563,0.086,True,5.148,0.474,1,low,residential_low,False
4,2,0.643,0.08,True,4.301,0.526,1,low,residential_low,False
5,2,0.712,0.069,True,3.536,0.574,1,low,residential_low,False
6,2,0.769,0.057,True,2.915,0.613,1,low,residential_low,False
7,2,0.81,0.056,True,2.55,0.64,1,low,residential_low,False
8,2,0.835,0.065,True,2.55,0.648,1,low,residential_low,False
9,2,0.844,0.074,True,2.915,0.638,1,low,residential_low,False
10,2,0.837,0.081,True,3.536,0.614,1,low,residential_low,False
11,2,0.816,0.087,True,4.301,0.582,1,low,residential_low,False
12,2,0.781,0.093,True,5.148,0.544,1,low,residential_low,False
13,2,0.737,0.097,True,6.042,0.504,1,low,residential_low,False
