x,y,height,slope,buildable,distance_to_road,accessibility,center_score,noise_value,density_potential,green_potential,open_space_potential,state,density,type,is_tower
0,0,0.276,0.08,True,8.746,0.241,0.034,0.563,0.26,0.748,0.637,0,none,forest,False
1,0,0.356,0.08,True,7.906,0.293,0.068,0.603,0.303,0.747,0.67,0,none,forest,False
2,0,0.435,0.079,True,7.106,0.343,0.101,0.513,0.313,0.695,0.62,0,none,forest,False
3,0,0.51,0.075,True,6.364,0.39,0.132,0.645,0.376,0.733,0.711,0,none,forest,False
4,0,0.576,0.066,True,5.701,0.432,0.161,0.669,0.41,0.729,0.733,0,none,forest,False
5,0,0.63,0.054,True,5.148,0.468,0.188,0.705,0.443,0.732,0.761,0,none,forest,False
6,0,0.672,0.049,True,4.743,0.496,0.214,0.381,0.383,0.594,0.558,1,low,residential_low,False
7,0,0.698,0.056,True,4.528,0.515,0.237,0.323,0.384,0.564,0.525,1,low,residential_low,False
8,0,0.708,0.063,True,4.528,0.522,0.257,0.369,0.404,0.581,0.557,1,low,residential_low,False
9,0,0.703,0.07,True,4.743,0.518,0.275,0.438,0.425,0.609,0.603,1,low,residential_low,False
10,0,0.683,0.076,True,5.148,0.504,0.29,0.502,0.439,0.64,0.644,1,low,residential_low,False
11,0,0.65,0.081,True,5.701,0.481,0.302,0.494,0.43,0.644,0.638,1,low,residential_low,False
12,0,0.607,0.085,True,6.364,0.452,0.31,0.427,0.403,0.626,0.594,0,none,forest,False
13,0,0.556,0.088,True,7.106,0.418,0.316,0.363,0.374,0.611,0.55,0,none,forest,False
14,0,0.501,0.09,True,7.906,0.38,0.317,0.272,0.334,0.587,0.489,0,none,forest,False
15,0,0.446,0.09,True,8.746,0.339,0.316,0.399,0.347,0.651,0.567,0,none,forest,False
16,0,0.394,0.088,True,9.618,0.296,0.31,0.478,0.346,0.696,0.614,0,none,forest,False
17,0,0.348,0.085,True,10.118,0.268,0.302,0.604,0.362,0.756,0.691,0,none,forest,False
18,0,0.31,0.081,True,9.431,0.297,0.29,0.471,0.338,0.693,0.607,0,none,forest,False
19,0,0.283,0.076,True,8.744,0.325,0.275,0.413,0.332,0.661,0.571,0,none,forest,False
20,0,0.268,0.07,True,8.058,0.352,0.257,0.326,0.317,0.618,0.516,0,none,forest,False
