x,y,height,slope,buildable,distance_to_road,density,type,is_tower
0,0,0.669,0.291,True,20,none,empty,False
1,0,0.96,0.291,True,19,none,empty,False
2,0,1.221,0.261,True,18,none,empty,False
3,0,1.421,0.2,True,17,none,empty,False
4,0,1.541,0.12,True,16,none,empty,False
5,0,1.568,0.066,True,15,none,empty,False
6,0,1.502,0.147,True,14,none,empty,False
7,0,1.355,0.207,True,13,none,empty,False
8,0,1.148,0.238,True,12,none,empty,False
9,0,0.91,0.238,True,11,none,empty,False
10,0,0.674,0.236,True,10,none,empty,False
11,0,0.472,0.202,True,9,none,empty,False
12,0,0.332,0.14,True,8,none,empty,False
13,0,0.275,0.087,True,7,none,empty,False
14,0,0.311,0.127,True,6,none,empty,False
15,0,0.438,0.207,True,5,none,empty,False
16,0,0.645,0.262,True,4,none,empty,False
17,0,0.907,0.288,True,3,none,empty,False
18,0,1.195,0.288,True,2,none,empty,False
19,0,1.475,0.28,True,1,none,empty,False
20,0,1.714,0.239,True,0,none,empty,False
21,0,1.882,0.168,True,1,none,empty,False
22,0,1.959,0.112,True,2,none,empty,False
23,0,1.934,0.125,True,3,none,empty,False
24,0,1.809,0.212,True,4,none,empty,False
25,0,1.597,0.277,True,5,none,empty,False
26,0,1.32,0.311,True,6,none,empty,False
27,0,1.009,0.311,True,7,none,empty,False
28,0,0.699,0.31,True,8,none,empty,False
29,0,0.424,0.275,True,9,none,empty,False
30,0,0.213,0.211,True,10,none,empty,False
31,0,0.088,0.125,True,11,none,empty,False
32,0,0.061,0.07,True,12,none,empty,False
33,0,0.131,0.155,True,13,none,empty,False
34,0,0.286,0.218,True,14,none,empty,False
35,0,0.504,0.25,True,15,none,empty,False
36,0,0.754,0.251,True,16,none,empty,False
37,0,1.005,0.251,True,17,none,empty,False
38,0,1.222,0.217,True,18,none,empty,False
39,0,1.376,0.154,True,19,none,empty,False
0,1,0.663,0.294,True,19,none,empty,False
1,1,0.957,0.294,True,19,none,empty,False
2,1,1.222,0.265,True,18,none,empty,False
3,1,1.428,0.206,True,17,none,empty,False
4,1,1.554,0.126,True,16,none,empty,False
5,1,1.587,0.058,True,15,none,empty,False
6,1,1.529,0.139,True,14,none,empty,False
7,1,1.39,0.199,True,13,none,empty,False
8,1,1.191,0.229,True,12,none,empty,False
9,1,0.962,0.229,True,11,none,empty,False
10,1,0.735,0.227,True,10,none,empty,False
11,1,0.542,0.193,True,9,none,empty,False
12,1,0.411,0.131,True,8,none,empty,False
13,1,0.362,0.087,True,7,none,empty,False
14,1,0.406,0.134,True,6,none,empty,False
15,1,0.54,0.212,True,5,none,empty,False
16,1,0.752,0.267,True,4,none,empty,False
17,1,1.019,0.291,True,3,none,empty,False
18,1,1.31,0.291,True,2,none,empty,False
19,1,1.592,0.282,True,1,none,empty,False
20,1,1.83,0.238,True,0,none,empty,False
21,1,1.997,0.167,True,1,none,empty,False
22,1,2.071,0.112,True,2,none,empty,False
23,1,2.042,0.131,True,3,none,empty,False
24,1,1.911,0.219,True,4,none,empty,False
25,1,1.692,0.285,True,5,none,empty,False
26,1,1.407,0.319,True,6,none,empty,False
27,1,1.088,0.319,True,7,none,empty,False
28,1,0.769,0.319,True,8,none,empty,False
29,1,0.485,0.284,True,9,none,empty,False
30,1,0.265,0.22,True,10,none,empty,False
31,1,0.132,0.133,True,11,none,empty,False
32,1,0.096,0.062,True,12,none,empty,False
33,1,0.158,0.148,True,13,none,empty,False
34,1,0.306,0.211,True,14,none,empty,False
35,1,0.517,0.244,True,15,none,empty,False
36,1,0.761,0.245,True,16,none,empty,False
37,1,1.006,0.245,True,17,none,empty,False
38,1,1.219,0.213,True,18,none,empty,False
39,1,1.369,0.15,True,19,none,empty,False
0,2,0.614,0.299,True,18,none,empty,False
1,2,0.913,0.299,True,18,none,empty,False
2,2,1.183,0.27,True,18,none,empty,False
3,2,1.395,0.212,True,17,none,empty,False
4,2,1.528,0.133,True,16,none,empty,False
5,2,1.569,0.05,True,15,none,empty,False
6,2,1.519,0.13,True,14,none,empty,False
7,2,1.389,0.188,True,13,none,empty,False
8,2,1.201,0.219,True,12,none,empty,False
9,2,0.982,0.219,True,11,none,empty,False
10,2,0.765,0.217,True,10,none,empty,False
11,2,0.583,0.182,True,9,none,empty,False
12,2,0.462,0.121,True,8,none,empty,False
13,2,0.423,0.061,True,7,none,empty,False
14,2,0.476,0.142,True,6,none,empty,False
15,2,0.618,0.219,True,5,none,empty,False
16,2,0.837,0.272,True,4,none,empty,False
17,2,1.109,0.295,True,3,none,empty,False
18,2,1.404,0.295,True,2,none,empty,False
19,2,1.687,0.283,True,1,none,empty,False
20,2,1.926,0.239,True,0,none,empty,False
21,2,2.091,0.165,True,1,none,empty,False
22,2,2.161,0.09,True,2,none,empty,False
23,2,2.127,0.138,True,3,none,empty,False
24,2,1.989,0.228,True,4,none,empty,False
25,2,1.761,0.293,True,5,none,empty,False
26,2,1.468,0.329,True,6,none,empty,False
27,2,1.139,0.329,True,7,none,empty,False
28,2,0.81,0.329,True,8,none,empty,False
29,2,0.515,0.295,True,9,none,empty,False
30,2,0.285,0.23,True,10,none,empty,False
31,2,0.141,0.144,True,11,none,empty,False
32,2,0.096,0.053,True,12,none,empty,False
33,2,0.149,0.139,True,13,none,empty,False
34,2,0.288,0.203,True,14,none,empty,False
35,2,0.491,0.237,True,15,none,empty,False
36,2,0.728,0.239,True,16,none,empty,False
37,2,0.967,0.239,True,17,none,empty,False
38,2,1.174,0.207,True,18,none,empty,False
39,2,1.32,0.146,True,18,none,empty,False
0,3,0.528,0.304,True,17,none,empty,False
1,3,0.832,0.304,True,17,none,empty,False
2,3,1.109,0.277,True,17,none,empty,False
3,3,1.328,0.219,True,17,none,empty,False
4,3,1.469,0.141,True,16,none,empty,False
5,3,1.519,0.074,True,15,none,empty,False
6,3,1.479,0.119,True,14,none,empty,False
