x,y,z,scale,macro_x,macro_y,micro_x,micro_y,parcel_id
-6.0784,-5.9605,0.291,0.0809,0,0,0,0,51
-5.6209,-5.9565,0.318,0.1461,0,0,1,0,51
-5.1499,-5.9452,0.347,0.091,0,0,2,0,51
-4.6625,-5.9251,0.377,0.1498,0,0,3,0,51
-4.1596,-5.8966,0.41,0.0962,1,0,0,0,51
-3.6455,-5.862,0.445,0.0876,1,0,1,0,51
-3.1261,-5.8246,0.48,0.1136,1,0,2,0,51
-2.6085,-5.7882,0.516,0.1145,1,0,3,0,51
-1.1247,-5.7161,0.619,0.1107,2,0,2,0,29
-0.6612,-5.7088,0.65,0.1237,2,0,3,0,29
-0.2078,-5.7068,0.679,0.1481,3,0,0,0,29
0.2432,-5.7039,0.708,0.1408,3,0,1,0,29
0.6964,-5.6926,0.736,0.1413,3,0,2,0,29
1.1533,-5.6682,0.764,0.1156,3,0,3,0,29
1.6141,-5.6301,0.792,0.0993,4,0,0,0,29
3.0106,-5.4657,0.874,0.1354,4,0,3,0,31
3.4758,-5.4119,0.897,0.14,5,0,0,0,31
3.9384,-5.3676,0.917,0.1166,5,0,1,0,31
4.3973,-5.3362,0.933,0.0801,5,0,2,0,31
4.8522,-5.3187,0.945,0.0834,5,0,3,0,31
6.1997,-5.3179,0.958,0.0829,6,0,2,0,55
6.6387,-5.3336,0.955,0.1287,6,0,3,0,55
7.069,-5.3616,0.947,0.1463,7,0,0,0,55
7.4911,-5.4013,0.936,0.0813,7,0,1,0,55
7.9073,-5.4493,0.921,0.0936,7,0,2,0,55
9.1539,-5.5963,0.865,0.0899,8,0,1,0,54
9.5799,-5.6304,0.844,0.111,8,0,2,0,54
10.0145,-5.6523,0.821,0.1339,8,0,3,0,54
10.4574,-5.6624,0.798,0.1387,9,0,0,0,54
10.9055,-5.6649,0.773,0.1003,9,0,1,0,54
12.2203,-5.6742,0.691,0.1373,10,0,0,0,53
12.6356,-5.6833,0.662,0.1167,10,0,1,0,53
13.0404,-5.6951,0.634,0.0821,10,0,2,0,53
13.4388,-5.7085,0.605,0.1293,10,0,3,0,53
13.8359,-5.7223,0.576,0.1082,11,0,0,0,53
15.068,-5.7531,0.485,0.1117,11,0,3,0,56
15.502,-5.7573,0.454,0.1129,12,0,0,0,56
15.9463,-5.7588,0.423,0.0787,12,0,1,0,56
16.3957,-5.7595,0.391,0.0836,12,0,2,0,56
16.8474,-5.763,0.36,0.1104,12,0,3,0,56
18.222,-5.8152,0.269,0.1012,13,0,2,0,84
18.6862,-5.8453,0.24,0.1389,13,0,3,0,84
19.1516,-5.8778,0.213,0.0979,14,0,0,0,84
19.6166,-5.9095,0.186,0.1494,14,0,1,0,84
20.0797,-5.9373,0.162,0.0903,14,0,2,0,84
20.5398,-5.9586,0.139,0.1344,14,0,3,0,84
-6.0653,-5.516,0.302,0.1477,0,0,0,1,51
-5.608,-5.512,0.33,0.0894,0,0,1,1,51
-5.1376,-5.5008,0.36,0.0894,0,0,2,1,51
-4.6512,-5.4807,0.392,0.1033,0,0,3,1,51
-4.1498,-5.4523,0.427,0.097,1,0,0,1,51
-3.6373,-5.418,0.463,0.1237,1,0,1,1,51
-3.1199,-5.3808,0.5,0.0971,1,0,2,1,51
-2.6041,-5.3445,0.538,0.1435,1,0,3,1,51
-1.124,-5.2728,0.647,0.0921,2,0,2,1,29
-0.6608,-5.2655,0.68,0.1427,2,0,3,1,29
-0.2075,-5.2636,0.711,0.1028,3,0,0,1,29
0.2435,-5.2607,0.741,0.1355,3,0,1,1,29
0.6968,-5.2495,0.771,0.1379,3,0,2,1,29
1.154,-5.2254,0.801,0.0917,3,0,3,1,29
1.6152,-5.1876,0.832,0.1358,4,0,0,1,29
3.0137,-5.0251,0.919,0.1483,4,0,3,1,31
3.4795,-4.9719,0.944,0.1273,5,0,0,1,31
3.9426,-4.9281,0.965,0.1222,5,0,1,1,31
4.4019,-4.8971,0.983,0.1369,5,0,2,1,31
4.857,-4.8797,0.996,0.1053,5,0,3,1,31
6.2046,-4.8787,1.01,0.0943,6,0,2,1,55
6.6434,-4.8935,1.006,0.0794,6,0,3,1,55
7.0734,-4.92,0.999,0.1311,7,0,0,1,55
7.4952,-4.9575,0.987,0.122,7,0,1,1,55
7.911,-5.003,0.972,0.0962,7,0,2,1,55
9.1563,-5.1421,0.914,0.0826,8,0,1,1,54
9.582,-5.1743,0.891,0.1266,8,0,2,1,54
10.0165,-5.1949,0.868,0.1052,8,0,3,1,54
10.4593,-5.2045,0.843,0.0943,9,0,0,1,54
10.9074,-5.2069,0.816,0.1164,9,0,1,1,54
12.2218,-5.2175,0.729,0.1467,10,0,0,1,53
12.6366,-5.2279,0.698,0.1018,10,0,1,1,53
13.0409,-5.2413,0.668,0.1106,10,0,2,1,53
13.4386,-5.2567,0.637,0.0988,10,0,3,1,53
13.835,-5.2725,0.606,0.1286,11,0,0,1,53
15.0656,-5.3077,0.51,0.0795,11,0,3,1,56
15.4994,-5.3124,0.477,0.0912,12,0,0,1,56
15.9436,-5.3141,0.444,0.1347,12,0,1,1,56
16.3931,-5.3149,0.411,0.1064,12,0,2,1,56
16.8448,-5.3184,0.378,0.1283,12,0,3,1,56
18.2206,-5.3705,0.282,0.0991,13,0,2,1,84
18.6854,-5.4005,0.252,0.1081,13,0,3,1,84
19.1515,-5.433,0.223,0.107,14,0,0,1,84
19.6171,-5.4647,0.196,0.1232,14,0,1,1,84
20.0808,-5.4924,0.17,0.1222,14,0,2,1,84
20.5414,-5.5137,0.146,0.1323,14,0,3,1,84
-6.0288,-5.0814,0.314,0.15,0,0,0,2,51
-5.5721,-5.0774,0.344,0.14,0,0,1,2,51
-5.1033,-5.0664,0.375,0.0997,0,0,2,2,51
-4.6197,-5.0465,0.409,0.0773,0,0,3,2,51
-4.1223,-5.0185,0.444,0.1487,1,0,0,2,51
-3.6148,-4.9846,0.482,0.1188,1,0,1,2,51
-3.1026,-4.948,0.521,0.1417,1,0,2,2,51
-2.592,-4.9122,0.561,0.1295,1,0,3,2,51
-1.122,-4.8414,0.676,0.1386,2,0,2,2,29
-0.6599,-4.8342,0.71,0.0914,2,0,3,2,29
-0.2068,-4.8323,0.744,0.1107,3,0,0,2,29
0.2442,-4.8296,0.776,0.0975,3,0,1,2,29
0.698,-4.8187,0.808,0.1203,3,0,2,2,29
1.156,-4.7954,0.84,0.0788,3,0,3,2,29
1.6184,-4.7588,0.872,0.0808,4,0,0,2,29
3.4898,-4.5498,0.991,0.086,5,0,0,2,31
3.9544,-4.5074,1.014,0.0791,5,0,1,2,31
4.4147,-4.4774,1.033,0.1011,5,0,2,2,31
4.8704,-4.4606,1.046,0.0933,5,0,3,2,31
6.218,-4.4588,1.062,0.0842,6,0,2,2,55
6.6565,-4.4713,1.059,0.0872,6,0,3,2,55
7.0858,-4.4935,1.051,0.0925,7,0,0,2,55
7.5067,-4.5251,1.04,0.1155,7,0,1,2,55
7.9214,-4.5633,1.025,0.1193,7,0,2,2,55
9.1633,-4.6801,0.966,0.0994,8,0,1,2,54
9.5882,-4.7072,0.942,0.1086,8,0,2,2,54
10.0221,-4.7245,0.918,0.1456,8,0,3,2,54
10.4647,-4.7325,0.891,0.0855,9,0,0,2,54
10.9127,-4.7346,0.863,0.1281,9,0,1,2,54
12.2258,-4.7488,0.769,0.1083,10,0,0,2,53
12.6394,-4.7628,0.737,0.1147,10,0,1,2,53
13.0421,-4.7809,0.704,0.0902,10,0,2,2,53
13.438,-4.8017,0.671,0.1349,10,0,3,2,53
13.8325,-4.823,0.638,0.1141,11,0,0,2,53
15.059,-4.8704,0.536,0.1049,11,0,3,2,56
15.4922,-4.8767,0.501,0.1395,12,0,0,2,56
15.9362,-4.879,0.466,0.0917,12,0,1,2,56
16.3857,-4.8799,0.431,0.1307,12,0,2,2,56
16.8376,-4.8834,0.397,0.0958,12,0,3,2,56
18.2165,-4.9353,0.296,0.1097,13,0,2,2,84
18.6831,-4.9652,0.264,0.0965,13,0,3,2,84
19.1511,-4.9976,0.234,0.1328,14,0,0,2,84
19.6187,-5.0291,0.205,0.1092,14,0,1,2,84
20.084,-5.0567,0.178,0.1102,14,0,2,2,84
20.5459,-5.078,0.152,0.0938,14,0,3,2,84
-5.9635,-4.6589,0.329,0.1431,0,0,0,3,51
-5.5078,-4.655,0.359,0.1373,0,0,1,3,51
-5.0419,-4.6442,0.392,0.103,0,0,2,3,51
-4.5634,-4.6249,0.427,0.0848,0,0,3,3,51
-4.0732,-4.5976,0.464,0.1473,1,0,0,3,51
-3.5743,-4.5645,0.503,0.0962,1,0,1,3,51
-3.0716,-4.5287,0.544,0.0894,1,0,2,3,51
-2.5702,-4.4938,0.585,0.1113,1,0,3,3,51
-1.1184,-4.4247,0.704,0.1025,2,0,2,3,29
-0.6582,-4.4178,0.741,0.1244,2,0,3,3,29
-0.2055,-4.4159,0.776,0.1069,3,0,0,3,29
0.2456,-4.4133,0.81,0.1434,3,0,1,3,29
0.7,-4.4031,0.844,0.1394,3,0,2,3,29
1.1594,-4.3811,0.879,0.1143,3,0,3,3,29
1.6242,-4.3467,0.913,0.1222,4,0,0,3,29
3.5083,-4.1499,1.039,0.1216,5,0,0,3,31
3.9754,-4.1098,1.063,0.1224,5,0,1,3,31
4.4376,-4.0816,1.082,0.0943,5,0,2,3,31
4.8943,-4.0657,1.096,0.0895,5,0,3,3,31
6.2421,-4.0626,1.113,0.1306,6,0,2,3,55
6.6799,-4.0709,1.11,0.1461,6,0,3,3,55
7.1081,-4.0856,1.103,0.0983,7,0,0,3,55
7.5273,-4.1064,1.093,0.1347,7,0,1,3,55
7.9399,-4.1316,1.079,0.1027,7,0,2,3,55
9.1756,-4.2086,1.021,0.1202,8,0,1,3,54
9.5991,-4.2265,0.998,0.1366,8,0,2,3,54
10.0322,-4.2379,0.972,0.1113,8,0,3,3,54
10.4743,-4.2432,0.944,0.1489,9,0,0,3,54
10.9222,-4.2446,0.914,0.1375,9,0,1,3,54
12.2332,-4.2653,0.813,0.0752,10,0,0,3,53
12.6445,-4.2858,0.778,0.1381,10,0,1,3,53
13.0443,-4.3123,0.743,0.1234,10,0,2,3,53
13.437,-4.3426,0.707,0.1091,10,0,3,3,53
13.8281,-4.3737,0.672,0.1469,11,0,0,3,53
15.0471,-4.443,0.563,0.0903,11,0,3,3,56
15.4794,-4.4524,0.526,0.1155,12,0,0,3,56
15.923,-4.4558,0.489,0.1325,12,0,1,3,56
16.3724,-4.4567,0.452,0.1141,12,0,2,3,56
16.8247,-4.4602,0.416,0.0873,12,0,3,3,56
18.2092,-4.5118,0.309,0.1347,13,0,2,3,84
18.6791,-4.5415,0.276,0.0846,13,0,3,3,84
19.1505,-4.5736,0.244,0.1247,14,0,0,3,84
19.6214,-4.605,0.213,0.1343,14,0,1,3,84
20.0898,-4.6324,0.185,0.1161,14,0,2,3,84
20.5539,-4.6535,0.159,0.1174,14,0,3,3,84
-5.8712,-4.2477,0.345,0.0771,0,1,0,0,51
-5.4169,-4.244,0.377,0.1032,0,1,1,0,51
-4.9551,-4.2336,0.411,0.131,0,1,2,0,51
-4.4838,-4.2149,0.447,0.0754,0,1,3,0,51
-4.0038,-4.1886,0.486,0.1452,1,1,0,0,51
-3.5173,-4.1567,0.526,0.0923,1,1,1,0,51
-3.0279,-4.1221,0.567,0.1017,1,1,2,0,51
-2.5395,-4.0885,0.61,0.0754,1,1,3,0,51
-1.1134,-4.0219,0.733,0.0938,2,1,2,0,29
-0.6557,-4.0152,0.772,0.1237,2,1,3,0,29
-0.2038,-4.0133,0.809,0.1239,3,1,0,0,29
0.2476,-4.0109,0.845,0.1226,3,1,1,0,29
0.7029,-4.0016,0.881,0.0804,3,1,2,0,29
1.1643,-3.9816,0.918,0.1069,3,1,3,0,29
1.6322,-3.9501,0.954,0.1137,4,1,0,0,29
3.0592,-3.8148,1.057,0.1196,4,1,3,0,31
3.5344,-3.7705,1.086,0.1199,5,1,0,0,31
4.0052,-3.734,1.111,0.0758,5,1,1,0,31
4.4699,-3.7081,1.131,0.0761,5,1,2,0,31
4.9288,-3.6907,1.146,0.0883,5,1,3,0,31
6.278,-3.6707,1.165,0.1325,6,1,2,0,55
6.7144,-3.6702,1.164,0.1321,6,1,3,0,55
7.1402,-3.6726,1.158,0.1408,7,1,0,0,55
7.5562,-3.6777,1.149,0.1089,7,1,1,0,55
7.9651,-3.685,1.137,0.1012,7,1,2,0,55
9.1908,-3.7134,1.082,0.0923,8,1,1,0,54
9.6126,-3.7229,1.058,0.0778,8,1,2,0,54
10.0454,-3.732,1.03,0.1156,8,1,3,0,54
10.4877,-3.7372,1.0,0.0939,9,1,0,0,54
10.9356,-3.7381,0.968,0.1389,9,1,1,0,54
12.2434,-3.768,0.86,0.0806,10,1,0,0,53
12.6517,-3.7976,0.822,0.0912,10,1,1,0,53
13.0474,-3.836,0.784,0.1006,10,1,2,0,53
13.4355,-3.8798,0.745,0.1214,10,1,3,0,53
13.8219,-3.9248,0.707,0.1148,11,1,0,0,53
15.0304,-4.025,0.591,0.0767,11,1,3,0,56
15.4611,-4.0386,0.552,0.0814,12,1,0,0,56
15.9043,-4.0435,0.513,0.1314,12,1,1,0,56
16.3537,-4.0447,0.474,0.1413,12,1,2,0,56
16.8066,-4.0481,0.435,0.0999,12,1,3,0,56
18.1989,-4.0992,0.323,0.0839,13,1,2,0,84
18.6733,-4.1286,0.288,0.1127,13,1,3,0,84
19.1496,-4.1605,0.254,0.0781,14,1,0,0,84
19.6253,-4.1915,0.222,0.095,14,1,1,0,84
20.0978,-4.2187,0.192,0.1409,14,1,2,0,84
20.5651,-4.2395,0.165,0.1412,14,1,3,0,84
-5.7593,-3.8448,0.363,0.111,0,1,0,1,51
-5.3068,-3.8413,0.397,0.123,0,1,1,1,51
-4.8498,-3.8313,0.433,0.0802,0,1,2,1,51
-4.3872,-3.8135,0.47,0.0819,0,1,3,1,51
-3.9195,-3.7883,0.509,0.1452,1,1,0,1,51
-3.4481,-3.7578,0.55,0.1425,1,1,1,1,51
-2.9748,-3.7248,0.592,0.1362,1,1,2,1,51
-2.5022,-3.6927,0.635,0.1445,1,1,3,1,51
-1.1074,-3.629,0.763,0.1428,2,1,2,1,29
-0.6529,-3.6226,0.803,0.1284,2,1,3,1,29
-0.2016,-3.6209,0.842,0.0905,3,1,0,1,29
0.25,-3.6187,0.881,0.1352,3,1,1,1,29
0.7065,-3.6105,0.919,0.1257,3,1,2,1,29
1.1703,-3.5927,0.957,0.1112,3,1,3,1,29
1.642,-3.5649,0.995,0.1256,4,1,0,1,29
3.0855,-3.4453,1.103,0.0992,4,1,3,1,31
3.5663,-3.4056,1.133,0.1001,5,1,0,1,31
4.0433,-3.3671,1.159,0.0814,5,1,1,1,31
4.5137,-3.3341,1.182,0.1352,5,1,2,1,31
4.9756,-3.3101,1.198,0.1376,5,1,3,1,31
6.3237,-3.2722,1.22,0.0985,6,1,2,1,55
6.7575,-3.2614,1.22,0.0875,6,1,3,1,55
7.1796,-3.2484,1.216,0.1408,7,1,0,1,55
7.591,-3.2335,1.209,0.114,7,1,1,1,55
7.9945,-3.2176,1.199,0.1439,7,1,2,1,55
9.2046,-3.1812,1.15,0.1041,8,1,1,1,54
9.6229,-3.1788,1.126,0.0966,8,1,2,1,54
10.0537,-3.1831,1.097,0.1073,8,1,3,1,54
10.4958,-3.1906,1.065,0.1378,9,1,0,1,54
10.9451,-3.1989,1.029,0.1357,9,1,1,1,54
12.2558,-3.2606,0.91,0.1281,10,1,0,1,53
12.6603,-3.3012,0.868,0.1119,10,1,1,1,53
13.0512,-3.354,0.826,0.1171,10,1,2,1,53
13.4337,-3.4143,0.785,0.0983,10,1,3,1,53
13.8144,-3.4761,0.743,0.077,11,1,0,1,53
15.01,-3.6139,0.619,0.111,11,1,3,1,56
15.4391,-3.6326,0.578,0.1049,12,1,0,1,56
15.8816,-3.6392,0.537,0.0839,12,1,1,1,56
16.331,-3.6407,0.496,0.0982,12,1,2,1,56
16.7845,-3.6441,0.456,0.1242,12,1,3,1,56
18.1863,-3.6945,0.337,0.148,13,1,2,1,84
18.6662,-3.7236,0.3,0.1117,13,1,3,1,84
19.1486,-3.7551,0.264,0.0954,14,1,0,1,84
19.6301,-3.7858,0.23,0.1297,14,1,1,1,84
20.1076,-3.8126,0.199,0.1276,14,1,2,1,84
20.5788,-3.8333,0.17,0.0752,14,1,3,1,84
-5.6384,-3.4457,0.383,0.14,0,1,0,2,51
-5.1878,-3.4423,0.418,0.0896,0,1,1,2,51
-4.736,-3.4329,0.455,0.1436,0,1,2,2,51
-4.2829,-3.4159,0.494,0.0808,0,1,3,2,51
-3.8285,-3.3921,0.534,0.1421,1,1,0,2,51
-3.3732,-3.3631,0.576,0.1298,1,1,1,2,51
-2.9175,-3.3317,0.618,0.1407,1,1,2,2,51
-2.4619,-3.3012,0.662,0.1427,1,1,3,2,51
-1.1008,-3.2408,0.793,0.1156,2,1,2,2,29
-0.6497,-3.2347,0.835,0.1417,2,1,3,2,29
-0.1993,-3.2331,0.876,0.1231,3,1,0,2,29
0.2526,-3.2312,0.916,0.099,3,1,1,2,29
0.7103,-3.2241,0.957,0.1003,3,1,2,2,29
1.1768,-3.2089,0.997,0.0913,3,1,3,2,29
1.6526,-3.1851,1.037,0.127,4,1,0,2,29
3.6067,-3.0312,1.183,0.1358,5,1,0,2,31
4.0917,-2.9857,1.212,0.1428,5,1,1,2,31
4.567,-2.946,1.236,0.0937,5,1,2,2,31
5.0303,-2.9187,1.254,0.1008,5,1,3,2,31
6.373,-2.8781,1.277,0.1465,6,1,2,2,55
